ERROR 2020-12-03 19:59:53,802 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 19:59:54,043 log 228 Bad Request: /
WARNING 2020-12-03 19:59:54,045 basehttp 154 "GET / HTTP/1.1" 400 68938
ERROR 2020-12-03 19:59:54,317 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 19:59:54,353 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 19:59:54,356 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68851
ERROR 2020-12-03 20:04:36,972 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:04:37,003 log 228 Bad Request: /
WARNING 2020-12-03 20:04:37,004 basehttp 154 "GET / HTTP/1.1" 400 69073
ERROR 2020-12-03 20:04:37,087 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:04:37,120 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 20:04:37,121 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68851
ERROR 2020-12-03 20:04:48,957 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:04:48,987 log 228 Bad Request: /admin
WARNING 2020-12-03 20:04:48,987 basehttp 154 "GET /admin HTTP/1.1" 400 68993
ERROR 2020-12-03 20:04:49,163 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:04:49,202 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 20:04:49,202 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68856
ERROR 2020-12-03 20:16:56,030 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:16:56,208 log 228 Bad Request: /
WARNING 2020-12-03 20:16:56,208 basehttp 154 "GET / HTTP/1.1" 400 68938
ERROR 2020-12-03 20:16:56,438 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:16:56,478 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 20:16:56,479 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68851
ERROR 2020-12-03 20:27:44,495 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:27:44,647 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 20:27:44,648 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68856
ERROR 2020-12-03 20:59:52,706 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:59:55,240 log 228 Bad Request: /
WARNING 2020-12-03 20:59:55,247 basehttp 154 "GET / HTTP/1.1" 400 68940
ERROR 2020-12-03 20:59:55,674 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 20:59:55,706 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 20:59:55,707 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68853
INFO 2020-12-03 21:00:55,681 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2020-12-03 21:00:55,723 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
